Date,Open,High,Low,Volume,Close
2023-02-17,23621.28,24924.04,23460.76,41358451255.0,24565.6
2023-02-16,24307.35,25134.12,23602.52,39316664596.0,23623.47
2023-02-15,22220.59,24307.84,22082.77,32483312909.0,24307.84
2023-02-14,21801.82,22293.14,21632.39,26792596581.0,22220.8
2023-02-13,21787.0,21898.41,21460.09,23918742607.0,21808.1
2023-02-12,21870.9,22060.99,21682.83,17821046406.0,21788.2
2023-02-11,21651.84,21891.41,21618.45,16356226232.0,21870.88
2023-02-10,21819.01,21941.19,21539.39,27078406594.0,21651.18
2023-02-09,22946.57,22996.44,21773.97,32572572185.0,21819.04
2023-02-08,23263.42,23367.96,22731.1,25371367758.0,22939.4
2023-02-07,22757.27,23310.97,22756.26,27187964471.0,23264.29
2023-02-06,22954.02,23119.28,22692.03,23825006542.0,22760.11
2023-02-05,23332.25,23423.44,22841.76,19564262605.0,22955.67
2023-02-04,23446.32,23556.95,23291.79,15639298538.0,23331.85
2023-02-03,23469.41,23678.1,23279.96,27083066007.0,23449.32
2023-02-02,23720.82,24167.21,23468.6,32066936882.0,23471.87
2023-02-01,23137.84,23764.54,22877.75,26683255504.0,23723.77
2023-01-31,22840.8,23225.02,22765.57,22837828665.0,23139.28
2023-01-30,23774.65,23789.35,22657.58,27205595568.0,22840.14
2023-01-29,23031.45,23919.89,22985.07,27423687259.0,23774.57
2023-01-28,23079.96,23165.9,22908.85,14712928379.0,23031.09
2023-01-27,23030.72,23417.72,22654.59,25383335641.0,23078.73
2023-01-26,23108.96,23237.08,22911.37,26357839322.0,23032.78
2023-01-25,22639.27,23722.1,22406.08,30685366709.0,23117.86
2023-01-24,22929.63,23134.01,22549.74,26405069715.0,22636.47
2023-01-23,22721.09,23126.49,22654.3,26518700512.0,22934.43
2023-01-22,22777.99,23056.73,22387.9,24746386230.0,22720.42
2023-01-21,22677.43,23282.35,22511.83,32442278429.0,22777.63
2023-01-20,21085.37,22692.36,20919.13,28799154319.0,22676.55
2023-01-19,20686.75,21163.01,20685.38,21152848261.0,21086.79
2023-01-18,21161.05,21564.5,20541.54,30005625418.0,20688.78
2023-01-17,21175.83,21438.66,20978.53,24999983362.0,21161.52
2023-01-16,20882.22,21360.88,20715.75,26792494050.0,21169.63
2023-01-15,20977.48,20993.75,20606.99,19298407543.0,20880.8
2023-01-14,19910.54,21075.14,19907.83,38967784639.0,20976.3
2023-01-13,18868.91,19964.32,18753.16,29225029694.0,19909.57
2023-01-12,18117.59,19030.09,17995.2,34971338710.0,18869.59
2023-01-11,17446.36,17934.9,17337.99,18372283782.0,17934.9
2023-01-10,17192.95,17484.72,17162.99,15808338949.0,17446.29
2023-01-09,17093.99,17389.96,17093.99,18624736866.0,17196.55
2023-01-08,16954.15,17091.14,16924.05,9768827914.0,17091.14
2023-01-07,16952.12,16975.02,16914.19,7714767174.0,16955.08
2023-01-06,16836.47,16991.99,16716.42,14413662913.0,16951.97
2023-01-05,16863.47,16884.02,16790.28,13692758566.0,16836.74
2023-01-04,16680.21,16964.59,16667.76,18421743322.0,16863.24
2023-01-03,16688.85,16760.45,16622.37,13903079207.0,16679.86
2023-01-02,16625.51,16759.34,16572.23,12097775227.0,16688.47
2023-01-01,16547.91,16630.44,16521.23,9244361700.0,16625.08
2022-12-31,16603.67,16628.99,16517.52,11239186456.0,16547.5
2022-12-30,16641.33,16643.43,16408.47,15929162910.0,16602.59
2022-12-29,16552.32,16651.76,16508.68,14472237479.0,16642.34
2022-12-28,16716.4,16768.17,16497.56,17005713920.0,16552.57
2022-12-27,16919.29,16959.85,16642.07,15748580239.0,16717.17
2022-12-26,16842.25,16920.12,16812.37,11886957804.0,16919.8
2022-12-25,16847.51,16860.55,16755.25,11656379938.0,16841.99
2022-12-24,16796.98,16864.7,16793.53,9744636213.0,16847.76
2022-12-23,16829.64,16905.22,16794.46,15329265213.0,16796.95
2022-12-22,16818.38,16866.67,16592.41,16441573050.0,16830.34
2022-12-21,16904.53,16916.8,16755.91,14882945045.0,16817.54
2022-12-20,16441.79,17012.98,16427.87,22722096615.0,16906.3
2022-12-19,16759.04,16807.53,16398.14,17221074814.0,16439.68
2022-12-18,16795.61,16815.39,16697.82,10924354698.0,16757.98
2022-12-17,16646.98,16800.59,16614.03,14463581825.0,16795.09
2022-12-16,17364.55,17505.53,16584.7,24031608960.0,16647.48
2022-12-15,17813.64,17846.74,17322.59,20964448341.0,17364.87
2022-12-14,17782.07,18318.53,17739.51,25534481470.0,17815.65
2022-12-13,17206.44,17930.09,17111.76,26634741631.0,17781.32
2022-12-12,17102.5,17212.56,16899.39,19617581341.0,17206.44
2022-12-11,17129.71,17245.63,17091.82,14122486832.0,17104.19
2022-12-10,17134.22,17216.83,17120.68,12706781969.0,17128.72
2022-12-09,17232.15,17280.55,17100.84,20328426366.0,17133.15
